name,symbol,exchange
20MICRONS,20MICRONS.NS,NSE
21STCENMGM,21STCENMGM.NS,NSE
360ONE,360ONE.NS,NSE
3IINFOLTD,3IINFOLTD.NS,NSE
3MINDIA,3MINDIA.NS,NSE
3PLAND,3PLAND.NS,NSE
5PAISA,5PAISA.NS,NSE
63MOONS,63MOONS.NS,NSE
A2ZINFRA,A2ZINFRA.NS,NSE
AAATECH,AAATECH.NS,NSE
AADHARHFC,AADHARHFC.NS,NSE
AAKASH,AAKASH.NS,NSE
AAREYDRUGS,AAREYDRUGS.NS,NSE
AARON,AARON.NS,NSE
AARTECH,AARTECH.NS,NSE
AARTIDRUGS,AARTIDRUGS.NS,NSE
AARTIIND,AARTIIND.NS,NSE
AARTIPHARM,AARTIPHARM.NS,NSE
AARTISURF,AARTISURF.NS,NSE
AARVEEDEN,AARVEEDEN.NS,NSE
AARVI,AARVI.NS,NSE
AAVAS,AAVAS.NS,NSE
ABAN,ABAN.NS,NSE
ABB,ABB.NS,NSE
ABBOTINDIA,ABBOTINDIA.NS,NSE
ABCAPITAL,ABCAPITAL.NS,NSE
ABDL,ABDL.NS,NSE
ABFRL,ABFRL.NS,NSE
ABINFRA,ABINFRA.NS,NSE
ABLBL,ABLBL.NS,NSE
ABMINTLLTD,ABMINTLLTD.NS,NSE
ABREL,ABREL.NS,NSE
ABSLAMC,ABSLAMC.NS,NSE
ACC,ACC.NS,NSE
ACCELYA,ACCELYA.NS,NSE
ACCURACY,ACCURACY.NS,NSE
ACE,ACE.NS,NSE
ACEINTEG,ACEINTEG.NS,NSE
ACI,ACI.NS,NSE
ACL,ACL.NS,NSE
ACLGATI,ACLGATI.NS,NSE
ACMESOLAR,ACMESOLAR.NS,NSE
ACUTAAS,ACUTAAS.NS,NSE
ADANIENSOL,ADANIENSOL.NS,NSE
ADANIENT,ADANIENT.NS,NSE
ADANIGREEN,ADANIGREEN.NS,NSE
ADANIPORTS,ADANIPORTS.NS,NSE
ADANIPOWER,ADANIPOWER.NS,NSE
ADFFOODS,ADFFOODS.NS,NSE
ADL,ADL.NS,NSE
ADOR,ADOR.NS,NSE
ADROITINFO,ADROITINFO.NS,NSE
ADSL,ADSL.NS,NSE
ADVANIHOTR,ADVANIHOTR.NS,NSE
ADVENZYMES,ADVENZYMES.NS,NSE
AEGISLOG,AEGISLOG.NS,NSE
AEGISVOPAK,AEGISVOPAK.NS,NSE
AEROENTER,AEROENTER.NS,NSE
AEROFLEX,AEROFLEX.NS,NSE
AETHER,AETHER.NS,NSE
AFCONS,AFCONS.NS,NSE
AFFLE,AFFLE.NS,NSE
AFFORDABLE,AFFORDABLE.NS,NSE
AFIL,AFIL.NS,NSE
AFSL,AFSL.NS,NSE
AGARIND,AGARIND.NS,NSE
AGARWALEYE,AGARWALEYE.NS,NSE
AGI,AGI.NS,NSE
AGIIL,AGIIL.NS,NSE
AGRITECH,AGRITECH.NS,NSE
AGROPHOS,AGROPHOS.NS,NSE
AGSTRA,AGSTRA.NS,NSE
AHLADA,AHLADA.NS,NSE
AHLEAST,AHLEAST.NS,NSE
AHLUCONT,AHLUCONT.NS,NSE
AIAENG,AIAENG.NS,NSE
AIIL,AIIL.NS,NSE
AIRAN,AIRAN.NS,NSE
AIROLAM,AIROLAM.NS,NSE
AJANTPHARM,AJANTPHARM.NS,NSE
AJAXENGG,AJAXENGG.NS,NSE
AJMERA,AJMERA.NS,NSE
AJOONI,AJOONI.NS,NSE
AKASH,AKASH.NS,NSE
AKG,AKG.NS,NSE
AKI,AKI.NS,NSE
AKSHAR,AKSHAR.NS,NSE
